0	0	0	0	0	1024	1	1	0	0	0
0	0	1	1	0	1024	0	1	0	0	0
0	1	0	2	0	-1024	0	0	1	1	0
0	1	1	3	0	-1024	1	0	1	1	0
0	2	0	4	0	512	1	1	1	0	0
0	2	1	5	0	512	0	1	1	0	0
0	3	0	6	0	1024	0	0	1	0	0
0	3	1	7	0	1024	1	0	1	0	0
0	4	0	8	0	0	0	0	1	0	1
0	4	1	9	0	0	1	0	1	0	1
0	5	0	10	0	1536	0	0	0	0	0
0	5	1	11	0	1536	1	0	0	0	0
0	6	0	12	0	-512	1	1	0	0	0
0	6	1	13	0	-512	0	1	0	0	0
0	7	0	14	0	-1536	0	0	1	1	0
0	7	1	15	0	-1536	1	0	1	1	0
0	8	0	16	0	-512	1	1	1	1	0
0	8	1	17	0	-512	0	1	1	1	0
0	9	0	18	0	512	0	0	1	1	0
0	9	1	19	0	512	1	0	1	1	0
0	10	0	20	0	-1024	1	1	1	0	0
0	10	1	21	0	-1024	0	1	1	0	0
0	11	0	22	1	0	0	0	1	1	2
0	11	1	23	1	0	1	0	1	1	2
0	12	0	24	1	0	1	1	1	0	2
0	12	1	25	1	0	0	1	1	0	2
0	13	0	26	1	0	0	0	0	0	2
0	13	1	27	1	0	1	0	0	0	2
0	14	0	28	0	1536	1	1	1	1	0
0	14	1	29	0	1536	0	1	1	1	0
0	15	0	30	0	-512	0	0	0	1	0
0	15	1	31	0	-512	1	0	0	1	0
0	16	0	32	0	-1536	1	1	1	0	0
0	16	1	33	0	-1536	0	1	1	0	0
0	17	0	34	0	-1024	0	0	0	1	0
0	17	1	35	0	-1024	1	0	0	1	0
0	18	0	36	0	0	0	0	0	0	1
0	18	1	37	0	0	1	0	0	0	1
0	19	0	38	0	1024	0	0	1	1	0
0	19	1	39	0	1024	1	0	1	1	0
0	20	0	40	0	-1024	1	1	0	0	0
0	20	1	41	0	-1024	0	1	0	0	0
0	21	0	42	0	512	0	0	0	1	0
0	21	1	43	0	512	1	0	0	1	0
0	22	0	44	0	-1536	1	1	0	1	0
0	22	1	45	0	-1536	0	1	0	1	0
0	23	0	46	0	-512	0	0	1	0	0
0	23	1	47	0	-512	1	0	1	0	0
0	24	0	48	0	0	0	0	1	1	1
0	24	1	49	0	0	1	0	1	1	1
0	25	0	50	0	1536	0	0	0	1	0
0	25	1	51	0	1536	1	0	0	1	0
0	26	0	52	1	0	1	1	0	1	2
0	26	1	53	1	0	0	1	0	1	2
0	27	0	54	0	512	0	0	0	0	0
0	27	1	55	0	512	1	0	0	0	0
0	28	0	56	0	-1536	1	1	0	0	0
0	28	1	57	0	-1536	0	1	0	0	0
0	29	0	58	0	1024	0	0	0	1	0
0	29	1	59	0	1024	1	0	0	1	0
0	30	0	60	0	1536	1	1	1	0	0
0	30	1	61	0	1536	0	1	1	0	0
0	31	0	62	0	0	1	1	0	1	1
0	31	1	63	0	0	0	1	0	1	1
1	0	0	0	1	0	0	0	1	1	2
1	0	1	1	1	0	1	0	1	1	2
1	1	0	2	0	-1536	1	1	0	0	0
1	1	1	3	0	-1536	0	1	0	0	0
1	2	0	4	0	1024	0	0	0	0	0
1	2	1	5	0	1024	1	0	0	0	0
1	3	0	6	0	1024	1	1	1	1	0
1	3	1	7	0	1024	0	1	1	1	0
1	4	0	8	0	0	1	1	1	0	1
1	4	1	9	0	0	0	1	1	0	1
1	5	0	10	0	-1536	1	1	0	1	0
1	5	1	11	0	-1536	0	1	0	1	0
1	6	0	12	0	1536	0	0	1	0	0
1	6	1	13	0	1536	1	0	1	0	0
1	7	0	14	0	512	1	1	1	0	0
1	7	1	15	0	512	0	1	1	0	0
1	8	0	16	0	512	0	0	1	1	0
1	8	1	17	0	512	1	0	1	1	0
1	9	0	18	0	-1024	1	1	0	0	0
1	9	1	19	0	-1024	0	1	0	0	0
1	10	0	20	1	0	0	0	0	1	2
1	10	1	21	1	0	1	0	0	1	2
1	11	0	22	0	1536	1	1	0	1	0
1	11	1	23	0	1536	0	1	0	1	0
1	12	0	24	0	-1024	0	0	1	0	0
1	12	1	25	0	-1024	1	0	1	0	0
1	13	0	26	0	-1536	1	1	1	0	0
1	13	1	27	0	-1536	0	1	1	0	0
1	14	0	28	0	-1536	0	0	1	1	0
1	14	1	29	0	-1536	1	0	1	1	0
1	15	0	30	0	1536	1	1	0	0	0
1	15	1	31	0	1536	0	1	0	0	0
1	16	0	32	0	-512	0	0	1	0	0
1	16	1	33	0	-512	1	0	1	0	0
1	17	0	34	1	0	1	1	1	0	2
1	17	1	35	1	0	0	1	1	0	2
1	18	0	36	0	512	0	0	0	1	0
1	18	1	37	0	512	1	0	0	1	0
1	19	0	38	0	-512	1	1	1	1	0
1	19	1	39	0	-512	0	1	1	1	0
1	20	0	40	0	1536	0	0	1	1	0
1	20	1	41	0	1536	1	0	1	1	0
1	21	0	42	0	512	1	1	0	0	0
1	21	1	43	0	512	0	1	0	0	0
1	22	0	44	0	0	1	1	1	1	1
1	22	1	45	0	0	0	1	1	1	1
1	23	0	46	0	-512	1	1	0	1	0
1	23	1	47	0	-512	0	1	0	1	0
1	24	0	48	0	0	1	1	0	0	1
1	24	1	49	0	0	0	1	0	0	1
1	25	0	50	0	0	0	0	0	1	1
1	25	1	51	0	0	1	0	0	1	1
1	26	0	52	0	-512	0	0	0	0	0
1	26	1	53	0	-512	1	0	0	0	0
1	27	0	54	1	0	1	1	0	0	2
1	27	1	55	1	0	0	1	0	0	2
1	28	0	56	0	1024	0	0	1	0	0
1	28	1	57	0	1024	1	0	1	0	0
1	29	0	58	0	1024	1	1	0	1	0
1	29	1	59	0	1024	0	1	0	1	0
1	30	0	60	0	-1024	0	0	0	1	0
1	30	1	61	0	-1024	1	0	0	1	0
1	31	0	62	0	-1024	1	1	1	1	0
1	31	1	63	0	-1024	0	1	1	1	0
