0	0	0	0	7	0	1	1	0	0
0	0	1	1	7	0	0	1	0	0
0	1	0	2	7	-1024	1	1	0	0
0	1	1	3	7	-1024	0	1	0	0
0	2	0	4	1	1536	0	0	0	1
0	2	1	5	1	1536	1	0	0	1
0	3	0	6	5	1536	0	0	0	1
0	3	1	7	5	1536	1	0	0	1
0	4	0	8	7	1024	1	1	0	0
0	4	1	9	7	1024	0	1	0	0
0	5	0	10	1	1024	1	1	0	1
0	5	1	11	1	1024	0	1	0	1
0	6	0	12	2	-1024	0	0	1	0
0	6	1	13	2	-1024	1	0	1	0
0	7	0	14	0	1024	0	0	1	1
0	7	1	15	0	1024	1	0	1	1
0	8	0	16	0	0	0	0	1	1
0	8	1	17	0	0	1	0	1	1
0	9	0	18	5	1024	1	1	0	1
0	9	1	19	5	1024	0	1	0	1
0	10	0	20	6	512	1	1	1	0
0	10	1	21	6	512	0	1	1	0
0	11	0	22	7	-1536	0	0	0	0
0	11	1	23	7	-1536	1	0	0	0
0	12	0	24	3	512	0	0	0	0
0	12	1	25	3	512	1	0	0	0
0	13	0	26	4	0	0	0	1	1
0	13	1	27	4	0	1	0	1	1
0	14	0	28	5	0	1	1	0	1
0	14	1	29	5	0	0	1	0	1
0	15	0	30	7	-512	0	0	0	0
0	15	1	31	7	-512	1	0	0	0
0	16	0	32	3	-1536	0	0	0	0
0	16	1	33	3	-1536	1	0	0	0
0	17	0	34	3	1024	1	1	0	0
0	17	1	35	3	1024	0	1	0	0
0	18	0	36	0	1536	1	1	1	1
0	18	1	37	0	1536	0	1	1	1
0	19	0	38	2	-1536	1	1	1	0
0	19	1	39	2	-1536	0	1	1	0
0	20	0	40	6	0	0	0	1	0
0	20	1	41	6	0	1	0	1	0
0	21	0	42	0	-1024	0	0	1	1
0	21	1	43	0	-1024	1	0	1	1
0	22	0	44	2	0	0	0	1	0
0	22	1	45	2	0	1	0	1	0
0	23	0	46	4	1536	1	1	1	1
0	23	1	47	4	1536	0	1	1	1
0	24	0	48	3	1536	0	0	0	0
0	24	1	49	3	1536	1	0	0	0
0	25	0	50	0	-512	1	1	1	1
0	25	1	51	0	-512	0	1	1	1
0	26	0	52	3	-1024	1	1	0	0
0	26	1	53	3	-1024	0	1	0	0
0	27	0	54	4	512	1	1	1	1
0	27	1	55	4	512	0	1	1	1
0	28	0	56	2	512	1	1	1	0
0	28	1	57	2	512	0	1	1	0
0	29	0	58	5	-512	0	0	0	1
0	29	1	59	5	-512	1	0	0	1
0	30	0	60	1	-1024	1	1	0	1
0	30	1	61	1	-1024	0	1	0	1
0	31	0	62	7	512	0	0	0	0
0	31	1	63	7	512	1	0	0	0
0	32	0	64	4	-1536	1	1	1	1
0	32	1	65	4	-1536	0	1	1	1
0	33	0	66	6	1024	0	0	1	0
0	33	1	67	6	1024	1	0	1	0
0	34	0	68	0	512	1	1	1	1
0	34	1	69	0	512	0	1	1	1
0	35	0	70	5	-1536	0	0	0	1
0	35	1	71	5	-1536	1	0	0	1
0	36	0	72	2	-512	1	1	1	0
0	36	1	73	2	-512	0	1	1	0
0	37	0	74	4	-512	1	1	1	1
0	37	1	75	4	-512	0	1	1	1
0	38	0	76	1	-1536	0	0	0	1
0	38	1	77	1	-1536	1	0	0	1
0	39	0	78	6	-1536	1	1	1	0
0	39	1	79	6	-1536	0	1	1	0
0	40	0	80	1	0	1	1	0	1
0	40	1	81	1	0	0	1	0	1
0	41	0	82	0	-1536	1	1	1	1
0	41	1	83	0	-1536	0	1	1	1
0	42	0	84	5	-1024	1	1	0	1
0	42	1	85	5	-1024	0	1	0	1
0	43	0	86	3	-512	0	0	0	0
0	43	1	87	3	-512	1	0	0	0
0	44	0	88	6	-1024	0	0	1	0
0	44	1	89	6	-1024	1	0	1	0
0	45	0	90	1	-512	0	0	0	1
0	45	1	91	1	-512	1	0	0	1
0	46	0	92	4	-1024	0	0	1	1
0	46	1	93	4	-1024	1	0	1	1
0	47	0	94	7	1536	0	0	0	0
0	47	1	95	7	1536	1	0	0	0
0	48	0	96	4	1024	0	0	1	1
0	48	1	97	4	1024	1	0	1	1
0	49	0	98	1	512	0	0	0	1
0	49	1	99	1	512	1	0	0	1
0	50	0	100	2	1536	1	1	1	0
0	50	1	101	2	1536	0	1	1	0
0	51	0	102	3	0	1	1	0	0
0	51	1	103	3	0	0	1	0	0
0	52	0	104	2	1024	0	0	1	0
0	52	1	105	2	1024	1	0	1	0
0	53	0	106	6	1536	1	1	1	0
0	53	1	107	6	1536	0	1	1	0
0	54	0	108	5	512	0	0	0	1
0	54	1	109	5	512	1	0	0	1
0	55	0	110	6	-512	1	1	1	0
0	55	1	111	6	-512	0	1	1	0
1	0	0	0	0	1536	0	0	1	1
1	0	1	1	0	1536	1	0	1	1
1	1	0	2	0	0	1	1	1	1
1	1	1	3	0	0	0	1	1	1
1	2	0	4	1	512	1	1	0	1
1	2	1	5	1	512	0	1	0	1
1	3	0	6	6	-1536	0	0	1	0
1	3	1	7	6	-1536	1	0	1	0
1	4	0	8	0	1024	1	1	1	1
1	4	1	9	0	1024	0	1	1	1
1	5	0	10	5	0	0	0	0	1
1	5	1	11	5	0	1	0	0	1
1	6	0	12	5	512	1	1	0	1
1	6	1	13	5	512	0	1	0	1
1	7	0	14	2	-512	0	0	1	0
1	7	1	15	2	-512	1	0	1	0
1	8	0	16	0	-1024	1	1	1	1
1	8	1	17	0	-1024	0	1	1	1
1	9	0	18	4	1536	0	0	1	1
1	9	1	19	4	1536	1	0	1	1
1	10	0	20	1	1024	0	0	0	1
1	10	1	21	1	1024	1	0	0	1
1	11	0	22	0	512	0	0	1	1
1	11	1	23	0	512	1	0	1	1
1	12	0	24	4	512	0	0	1	1
1	12	1	25	4	512	1	0	1	1
1	13	0	26	2	-1536	0	0	1	0
1	13	1	27	2	-1536	1	0	1	0
1	14	0	28	0	-1536	0	0	1	1
1	14	1	29	0	-1536	1	0	1	1
1	15	0	30	7	-1024	0	0	0	0
1	15	1	31	7	-1024	1	0	0	0
1	16	0	32	2	1024	1	1	1	0
1	16	1	33	2	1024	0	1	1	0
1	17	0	34	3	-1024	0	0	0	0
1	17	1	35	3	-1024	1	0	0	0
1	18	0	36	1	-1024	0	0	0	1
1	18	1	37	1	-1024	1	0	0	1
1	19	0	38	3	-1536	1	1	0	0
1	19	1	39	3	-1536	0	1	0	0
1	20	0	40	1	1536	1	1	0	1
1	20	1	41	1	1536	0	1	0	1
1	21	0	42	2	0	1	1	1	0
1	21	1	43	2	0	0	1	1	0
1	22	0	44	5	1024	0	0	0	1
1	22	1	45	5	1024	1	0	0	1
1	23	0	46	3	1024	0	0	0	0
1	23	1	47	3	1024	1	0	0	0
1	24	0	48	7	512	1	1	0	0
1	24	1	49	7	512	0	1	0	0
1	25	0	50	2	1536	0	0	1	0
1	25	1	51	2	1536	1	0	1	0
1	26	0	52	5	-1024	0	0	0	1
1	26	1	53	5	-1024	1	0	0	1
1	27	0	54	7	1024	0	0	0	0
1	27	1	55	7	1024	1	0	0	0
1	28	0	56	1	0	0	0	0	1
1	28	1	57	1	0	1	0	0	1
1	29	0	58	3	1536	1	1	0	0
1	29	1	59	3	1536	0	1	0	0
1	30	0	60	5	1536	1	1	0	1
1	30	1	61	5	1536	0	1	0	1
1	31	0	62	3	0	0	0	0	0
1	31	1	63	3	0	1	0	0	0
1	32	0	64	7	-1536	1	1	0	0
1	32	1	65	7	-1536	0	1	0	0
1	33	0	66	4	-1536	0	0	1	1
1	33	1	67	4	-1536	1	0	1	1
1	34	0	68	7	1536	1	1	0	0
1	34	1	69	7	1536	0	1	0	0
1	35	0	70	6	1536	0	0	1	0
1	35	1	71	6	1536	1	0	1	0
1	36	0	72	3	-512	1	1	0	0
1	36	1	73	3	-512	0	1	0	0
1	37	0	74	2	512	0	0	1	0
1	37	1	75	2	512	1	0	1	0
1	38	0	76	6	-1024	1	1	1	0
1	38	1	77	6	-1024	0	1	1	0
1	39	0	78	4	0	1	1	1	1
1	39	1	79	4	0	0	1	1	1
1	40	0	80	4	-512	0	0	1	1
1	40	1	81	4	-512	1	0	1	1
1	41	0	82	4	1024	1	1	1	1
1	41	1	83	4	1024	0	1	1	1
1	42	0	84	4	-1024	1	1	1	1
1	42	1	85	4	-1024	0	1	1	1
1	43	0	86	1	-1536	1	1	0	1
1	43	1	87	1	-1536	0	1	0	1
1	44	0	88	7	0	0	0	0	0
1	44	1	89	7	0	1	0	0	0
1	45	0	90	5	-512	1	1	0	1
1	45	1	91	5	-512	0	1	0	1
1	46	0	92	3	512	1	1	0	0
1	46	1	93	3	512	0	1	0	0
1	47	0	94	6	0	1	1	1	0
1	47	1	95	6	0	0	1	1	0
1	48	0	96	2	-1024	1	1	1	0
1	48	1	97	2	-1024	0	1	1	0
1	49	0	98	6	1024	1	1	1	0
1	49	1	99	6	1024	0	1	1	0
1	50	0	100	6	-512	0	0	1	0
1	50	1	101	6	-512	1	0	1	0
1	51	0	102	6	512	0	0	1	0
1	51	1	103	6	512	1	0	1	0
1	52	0	104	1	-512	1	1	0	1
1	52	1	105	1	-512	0	1	0	1
1	53	0	106	0	-512	0	0	1	1
1	53	1	107	0	-512	1	0	1	1
1	54	0	108	5	-1536	1	1	0	1
1	54	1	109	5	-1536	0	1	0	1
1	55	0	110	7	-512	1	1	0	0
1	55	1	111	7	-512	0	1	0	0
