basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E_v2,grad_S_v2,sigma_v2,Df,formula_score_v2,formula_log_score_v2,log_E_over_grad_S,Df_ln_sigma,p_threshold,below_threshold,E_v1,grad_S_v1,sigma_v1,formula_score_v1,formula_log_score_v1,syndrome_density,num_detectors,num_observables,duration_seconds
x,3,3,0.0005,20000,1033589099,meas,3,0.00015,0.00017499125043747812,0.99985,2.8572857142857147,1.0498721232487196,0.9995,0.07071067811865475,3.760603093086394,3.0,751.7445583079704,6.622396583143364,2.648658558232336,3.973738024911028,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,329845.1860191319,12.706378690089862,0.00619375,24,1,0.010934999998426065
x,3,3,0.001,20000,652679082,meas,13,0.00065,0.0006749662516874156,0.99935,1.4815555555555555,0.3930925868596489,0.999,0.1414213562373095,2.6591479484724942,3.0,132.82444002620107,4.889028256451599,1.9550110023804896,2.9340172540711094,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,71944.77784389314,11.183654129332485,0.012864583333333334,24,1,0.007807400001183851
x,3,3,0.002,20000,2599646,meas,46,0.0023,0.0023248837558122095,0.9977,0.860258064516129,-0.15052285972933274,0.998,0.282842712474619,1.880301546543197,3.0,23.456761793126386,3.1551588027146464,1.2608623194834545,1.8942964832311917,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,15999.536566671928,9.680315036219433,0.0250875,24,1,0.011568400001124246
x,3,3,0.004,20000,2937011016,meas,145,0.00725,0.00727463626818659,0.99275,0.5498556701030928,-0.5980994531876239,0.996,0.565685424949238,1.3295739742362471,3.0,4.138298994810318,1.420284832587917,0.5657091201966437,0.8545757123912736,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,3642.377074018346,8.200391789804176,0.05087083333333333,24,1,0.016353899998648558
x,3,3,0.006,20000,133575838,meas,322,0.0161,0.016124193790310486,0.9839,0.3721116279069767,-0.9885613947037396,0.994,0.848528137423857,1.0855926040543844,3.0,1.4987209005973032,0.4046120113894824,0.15823396116045502,0.2463780502290273,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,1552.5705725830635,7.347667270154874,0.07226875,24,1,0.02698459999737679
x,3,3,0.008,20000,3208553455,meas,520,0.026,0.026023698815059247,0.974,0.3074121037463977,-1.1795660740711549,0.992,1.131370849898476,0.9401507732715985,3.0,0.728616849285489,-0.3166072691116712,-0.13146221066302716,-0.18514505844864412,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,853.5496312306174,6.749403690784747,0.09538541666666667,24,1,0.029289699999935692
x,3,3,0.01,20000,2131989698,meas,909,0.04545,0.04547272636368182,0.95455,0.219912039582188,-1.5145276326600987,0.99,1.4142135623730951,0.8408964152537146,3.0,0.4162437255505888,-0.8764843115534329,-0.3566239261334742,-0.5198603854199587,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,538.9690629392286,6.28965817211743,0.1169875,24,1,0.03226209999775165
x,3,3,0.02,20000,587658810,meas,2813,0.14065,0.1406679666016699,0.8593500000000001,0.14217878087791008,-1.95066999301531,0.98,2.8284271247461903,0.5946035575013605,3.0,0.07283893579391666,-2.6195046344173143,-1.0599234781574374,-1.5595811562598771,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,132.91231308028463,4.889689610639601,0.20822291666666667,24,1,0.05297209999844199
x,3,3,0.04,20000,3981994945,meas,6571,0.32855,0.32855857207139644,0.67145,0.12174389408810773,-2.105835669504094,0.96,5.656854249492381,0.4204482076268573,3.0,0.012613446228805721,-4.372991873019913,-1.7736899459201185,-2.599301927099795,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,34.60600495400129,3.54402722058885,0.3402125,24,1,0.08500360000107321
x,5,5,0.0005,20000,1057281918,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,5.0,10631.273497993037,9.271555266417382,2.648658558232336,6.6228967081850465,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,53166027.32032967,17.788930166125805,0.006659583333333333,120,1,0.041050499999983
x,5,5,0.001,20000,3524954680,meas,1,5e-05,7.499625018749062e-05,0.99995,13.334000000000001,2.590317164195868,0.999,0.1414213562373095,2.6591479484724942,5.0,939.2106224983269,6.845039759165672,1.9550110023804896,4.890028756785182,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,6306653.726318073,15.657115781065478,0.013394166666666667,120,1,0.054306199999700766
x,5,5,0.002,20000,1053279607,meas,3,0.00015,0.00017499125043747812,0.99985,11.429142857142859,2.43616648436861,0.998,0.282842712474619,1.880301546543197,5.0,82.93217664298594,4.418023124868774,1.2608623194834545,3.1571608053853195,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,768688.4660274368,13.552441050707206,0.02626416666666667,120,1,0.046544599998014746
x,5,5,0.004,20000,4209897481,meas,37,0.00185,0.0018749062546872656,0.99815,2.1334400000000002,0.7577357004475582,0.996,0.565685424949238,1.3295739742362471,5.0,7.315548204519625,1.9900019741820996,0.5657091201966437,1.424292853985456,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,96814.15633727472,11.480548505725846,0.05103791666666667,120,1,0.0667042000022775
x,5,5,0.006,20000,3565351644,meas,146,0.0073,0.007324633768311584,0.9927,0.8191535836177475,-0.1994836869250343,0.994,0.848528137423857,1.0855926040543844,5.0,1.7662595198639381,0.5688640448755006,0.15823396116045502,0.41063008371504556,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,29340.795902887396,10.286734178216824,0.07557125,120,1,0.11498149999897578
x,5,5,0.008,20000,218784865,meas,290,0.0145,0.014524273786310684,0.9855,0.5508020654044751,-0.5963797623080973,0.992,1.131370849898476,0.9401507732715985,5.0,0.6440123937706824,-0.4400373080774341,-0.13146221066302716,-0.30857509741440686,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,12697.560496408267,9.449165167098645,0.09806916666666667,120,1,0.14057729999694857
x,5,5,0.01,20000,3112499751,meas,528,0.0264,0.0264236788160592,0.9736,0.37844843897824026,-0.9716754400122141,0.99,1.4142135623730951,0.8408964152537146,5.0,0.29432876096317356,-1.2230579018334053,-0.3566239261334742,-0.8664339756999312,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,6670.975906091855,8.805521440964402,0.12044041666666666,120,1,0.18496769999910612
x,5,5,0.02,20000,1465113271,meas,3126,0.1563,0.15631718414079296,0.8437,0.12794498640652488,-2.0561549011493288,0.98,2.8284271247461903,0.5946035575013605,5.0,0.025752452717145,-3.6592254052572324,-1.0599234781574374,-2.5993019270997952,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,939.7044913129173,6.845565454895441,0.21428708333333332,120,1,0.3665646999979799
x,5,5,0.04,20000,2407302405,meas,8436,0.4218,0.42180390980450977,0.5782,0.09483079476086055,-2.355661083220423,0.96,5.656854249492381,0.4204482076268573,5.0,0.0022297633406301027,-6.105859824419777,-1.7736899459201185,-4.332169878499657,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,142.8275714749937,4.96163810882439,0.34458625,120,1,0.721615100002964
x,7,7,0.0005,20000,3865074124,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,7.0,150348.9116615941,11.9207139496914,2.648658558232336,9.272055391459066,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,8569554993.784535,22.87148164216175,0.006801636904761905,336,1,0.09619919999749982
x,7,7,0.001,20000,1761344428,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,7.0,6641.222001310054,8.801051261879746,1.9550110023804896,6.846040259499255,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,552839030.373874,20.13057743279847,0.013439434523809524,336,1,0.1071431999989727
x,7,7,0.002,20000,4175432178,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,7.0,293.20952241407986,5.680887447022902,1.2608623194834545,4.420025127539447,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,36931192.05930371,17.424567065194978,0.02665238095238095,336,1,0.1234747000016796
x,7,7,0.004,20000,2833889128,meas,10,0.0005,0.0005249737513124343,0.9995,7.619428571428572,2.0307013762604456,0.996,0.565685424949238,1.3295739742362471,7.0,12.932184358782246,2.5597191157762818,0.5657091201966437,1.9940099955796384,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,2573314.260667088,14.760705221647516,0.052115625,336,1,0.22124179999809712
x,7,7,0.006,20000,2474885832,meas,38,0.0019,0.0019249037548122593,0.9981,3.1170389610389613,1.1368835002383493,0.994,0.848528137423857,1.0855926040543844,7.0,2.081556806385144,0.7331160783615187,0.15823396116045502,0.5748821172010637,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,554488.355902956,13.225801086278773,0.07605848214285714,336,1,0.3258869000019331
x,7,7,0.008,20000,2172552685,meas,135,0.00675,0.006774661266936653,0.99325,1.1808708487084871,0.16625217366411305,0.992,1.131370849898476,0.9401507732715985,7.0,0.5692319135042884,-0.5634673470431968,-0.13146221066302716,-0.43200513638016963,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,188891.2333398761,12.148926643412544,0.09884747023809524,336,1,0.3636234000005061
x,7,7,0.01,20000,574153065,meas,316,0.0158,0.01582420878956052,0.9842,0.6319431279620854,-0.45895587628615236,0.99,1.4142135623730951,0.8408964152537146,7.0,0.20812186277529443,-1.569631492113378,-0.3566239261334742,-1.2130075659799036,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,82568.59734577357,11.321384709811374,0.12102395833333333,336,1,0.541246199998568
x,7,7,0.02,20000,1064192356,meas,3379,0.16895,0.1689665516724164,0.8310500000000001,0.11836662228140257,-2.1339685026823854,0.98,2.8284271247461903,0.5946035575013605,7.0,0.009104866974239581,-4.6989461760971505,-1.0599234781574374,-3.6390226979397133,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,6643.812830646267,8.80144129915128,0.21610699404761904,336,1,1.263637899999594
x,7,7,0.04,20000,2862569704,meas,9485,0.47425,0.4742512874356282,0.5257499999999999,0.0843434716145696,-2.4728578693746313,0.96,5.656854249492381,0.4204482076268573,7.0,0.00039417019465017884,-7.838727775819639,-1.7736899459201185,-6.065037829899521,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,589.4848365351614,6.37924899705993,0.34650223214285714,336,1,2.5576557999993383
x,9,9,0.0005,20000,2075881125,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,9.0,2126254.699598608,14.569872632965419,2.648658558232336,11.921214074733083,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,1381281929323.624,27.954033118197696,0.006806388888888889,720,1,0.17108310000185156
x,9,9,0.001,20000,4131823859,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,9.0,46960.531124916335,10.757062764593819,1.9550110023804896,8.802051762213328,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,48461673459.144775,24.604039084531465,0.013528472222222223,720,1,0.2158662000001641
x,9,9,0.002,20000,3349134512,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,9.0,1036.6522080373247,6.94375176917703,1.2608623194834545,5.682889449693575,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,1774337728.7418482,21.29669307968275,0.026789583333333332,720,1,0.2233180999974138
x,9,9,0.004,20000,2521110105,meas,0,0.0,2.4998750062496874e-05,1.0,160.008,5.075223813983869,0.996,0.565685424949238,1.3295739742362471,9.0,22.861088139123826,3.129436257370464,0.5657091201966437,2.563727137173821,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,68398533.1761143,18.040861937569186,0.05210555555555556,720,1,0.40861129999757395
x,9,9,0.006,20000,1779942386,meas,16,0.0008,0.0008249587520623968,0.9992,7.27309090909091,1.984181360625553,0.994,0.848528137423857,1.0855926040543844,9.0,2.4531382220332483,0.897368111847537,0.15823396116045502,0.739134150687082,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,10478834.24326968,16.16486799434072,0.07639291666666667,720,1,0.619103000000905
x,9,9,0.008,20000,1465699091,meas,81,0.00405,0.00407479626018699,0.99595,1.9632883435582824,0.6746207937370516,0.992,1.131370849898476,0.9401507732715985,9.0,0.5031346826333458,-0.6868973860089596,-0.13146221066302716,-0.5554351753459323,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,2809980.550417714,14.848688119726441,0.09975861111111112,720,1,0.8437875000017812
x,9,9,0.01,20000,3592364034,meas,212,0.0106,0.010624468776561173,0.9894,0.9412235294117647,-0.060574623066393204,0.99,1.4142135623730951,0.8408964152537146,9.0,0.1471643804815868,-1.9162050823933505,-0.3566239261334742,-1.5595811562598763,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,1021975.3996447144,13.837247978658345,0.12186701388888889,720,1,1.0653464999995776
x,9,9,0.02,20000,4186286801,meas,3873,0.19365,0.1936653167341633,0.80635,0.10327094359106752,-2.2703992242139335,0.98,2.8284271247461903,0.5946035575013605,9.0,0.003219056589643125,-5.738666946937069,-1.0599234781574374,-4.678743468779631,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,46972.478408599476,10.757317143407121,0.217336875,720,1,2.9054877999988094
x,9,9,0.04,20000,4022313767,meas,9937,0.49685,0.4968501574921254,0.50315,0.08050716981132075,-2.5194090325446186,0.96,5.656854249492381,0.4204482076268573,9.0,6.968010439469074e-05,-9.571595727219503,-1.7736899459201185,-7.7979057812993835,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,2432.950227440681,7.79685988529547,0.3481488888888889,720,1,6.203378599999269
z,3,3,0.0005,20000,325724050,meas,2,0.0001,0.00012499375031248437,0.9999,4.0002,1.3863443598699323,0.9995,0.07071067811865475,3.760603093086394,3.0,751.7445583079704,6.622396583143364,2.648658558232336,3.973738024911028,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,329845.1860191319,12.706378690089862,0.0062875,24,1,0.00982780000049388
z,3,3,0.001,20000,1303243711,meas,17,0.00085,0.0008749562521873906,0.99915,1.1429142857142858,0.13358139137456435,0.999,0.1414213562373095,2.6591479484724942,3.0,132.82444002620107,4.889028256451599,1.9550110023804896,2.9340172540711094,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,71944.77784389314,11.183654129332485,0.012708333333333334,24,1,0.00895680000030552
z,3,3,0.002,20000,3543194423,meas,39,0.00195,0.001974901254937253,0.99805,1.0127088607594938,0.012628780956901956,0.998,0.282842712474619,1.880301546543197,3.0,23.456761793126386,3.1551588027146464,1.2608623194834545,1.8942964832311917,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,15999.536566671928,9.680315036219433,0.02545,24,1,0.011632099998678314
z,3,3,0.004,20000,4286593844,meas,132,0.0066,0.006624668766561672,0.9934,0.6038037735849057,-0.5045060120023536,0.996,0.565685424949238,1.3295739742362471,3.0,4.138298994810318,1.420284832587917,0.5657091201966437,0.8545757123912736,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,3642.377074018346,8.200391789804176,0.049104166666666664,24,1,0.015196500000456581
z,3,3,0.006,20000,1712024285,meas,334,0.0167,0.01672416379181041,0.9833,0.35876233183856504,-1.0250951380361955,0.994,0.848528137423857,1.0855926040543844,3.0,1.4987209005973032,0.4046120113894824,0.15823396116045502,0.2463780502290273,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,1552.5705725830635,7.347667270154874,0.07284791666666666,24,1,0.022016799997800263
z,3,3,0.008,20000,2463014906,meas,539,0.02695,0.02697365131743413,0.97305,0.29658572752548656,-1.2154189707143208,0.992,1.131370849898476,0.9401507732715985,3.0,0.728616849285489,-0.3166072691116712,-0.13146221066302716,-0.18514505844864412,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,853.5496312306174,6.749403690784747,0.09500833333333333,24,1,0.019465599998511607
z,3,3,0.01,20000,604214345,meas,809,0.04045,0.04047297635118244,0.95955,0.2470784434836319,-1.3980494078196113,0.99,1.4142135623730951,0.8408964152537146,3.0,0.4162437255505888,-0.8764843115534329,-0.3566239261334742,-0.5198603854199587,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,538.9690629392286,6.28965817211743,0.11555,24,1,0.02576770000086981
z,3,3,0.02,20000,2943196491,meas,2818,0.1409,0.14091795410229488,0.8591,0.14192655667908463,-1.952445561663606,0.98,2.8284271247461903,0.5946035575013605,3.0,0.07283893579391666,-2.6195046344173143,-1.0599234781574374,-1.5595811562598771,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,132.91231308028463,4.889689610639601,0.2094125,24,1,0.044642900000326335
z,3,3,0.04,20000,3987681527,meas,6686,0.3343,0.3343082845857707,0.6657,0.11965004112764525,-2.1231841208948823,0.96,5.656854249492381,0.4204482076268573,3.0,0.012613446228805721,-4.372991873019913,-1.7736899459201185,-2.599301927099795,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,34.60600495400129,3.54402722058885,0.33645416666666667,24,1,0.07948949999990873
z,5,5,0.0005,20000,645392705,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,5.0,10631.273497993037,9.271555266417382,2.648658558232336,6.6228967081850465,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,53166027.32032967,17.788930166125805,0.006729583333333333,120,1,0.041098300000157906
z,5,5,0.001,20000,903724936,meas,1,5e-05,7.499625018749062e-05,0.99995,13.334000000000001,2.590317164195868,0.999,0.1414213562373095,2.6591479484724942,5.0,939.2106224983269,6.845039759165672,1.9550110023804896,4.890028756785182,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,6306653.726318073,15.657115781065478,0.013407916666666667,120,1,0.023642000000108965
z,5,5,0.002,20000,215322660,meas,4,0.0002,0.00022498875056247187,0.9998,8.889333333333333,2.184852056087704,0.998,0.282842712474619,1.880301546543197,5.0,82.93217664298594,4.418023124868774,1.2608623194834545,3.1571608053853195,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,768688.4660274368,13.552441050707206,0.02618875,120,1,0.03166849999979604
z,5,5,0.004,20000,3540747292,meas,41,0.00205,0.002074896255187241,0.99795,1.9278072289156625,0.6563832061872705,0.996,0.565685424949238,1.3295739742362471,5.0,7.315548204519625,1.9900019741820996,0.5657091201966437,1.424292853985456,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,96814.15633727472,11.480548505725846,0.05114041666666667,120,1,0.06879950000075041
z,5,5,0.006,20000,3489695406,meas,138,0.0069,0.006924653767311635,0.9931,0.8664693140794224,-0.1433285840953055,0.994,0.848528137423857,1.0855926040543844,5.0,1.7662595198639381,0.5688640448755006,0.15823396116045502,0.41063008371504556,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,29340.795902887396,10.286734178216824,0.07487666666666666,120,1,0.08817609999823617
z,5,5,0.008,20000,124822000,meas,296,0.0148,0.014824258787060647,0.9852,0.5396559865092748,-0.6168234044539117,0.992,1.131370849898476,0.9401507732715985,5.0,0.6440123937706824,-0.4400373080774341,-0.13146221066302716,-0.30857509741440686,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,12697.560496408267,9.449165167098645,0.09821291666666666,120,1,0.11811020000095596
z,5,5,0.01,20000,3554377350,meas,526,0.0263,0.02632368381580921,0.9737,0.3798860398860399,-0.9678839662759517,0.99,1.4142135623730951,0.8408964152537146,5.0,0.29432876096317356,-1.2230579018334053,-0.3566239261334742,-0.8664339756999312,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,6670.975906091855,8.805521440964402,0.11927458333333334,120,1,0.14953560000139987
z,5,5,0.02,20000,690384162,meas,3049,0.15245,0.15246737663116844,0.84755,0.13117560255779637,-2.0312183758784874,0.98,2.8284271247461903,0.5946035575013605,5.0,0.025752452717145,-3.6592254052572324,-1.0599234781574374,-2.5993019270997952,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,939.7044913129173,6.845565454895441,0.21361166666666667,120,1,0.3369434000014735
z,5,5,0.04,20000,1158839439,meas,8432,0.4216,0.4216039198040098,0.5784,0.09487577823895642,-2.3551868405178364,0.96,5.656854249492381,0.4204482076268573,5.0,0.0022297633406301027,-6.105859824419777,-1.7736899459201185,-4.332169878499657,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,142.8275714749937,4.96163810882439,0.3443395833333333,120,1,0.6622704000001249
z,7,7,0.0005,20000,2270801214,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,7.0,150348.9116615941,11.9207139496914,2.648658558232336,9.272055391459066,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,8569554993.784535,22.87148164216175,0.00675327380952381,336,1,0.09029910000026575
z,7,7,0.001,20000,1827928955,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,7.0,6641.222001310054,8.801051261879746,1.9550110023804896,6.846040259499255,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,552839030.373874,20.13057743279847,0.013497916666666667,336,1,0.0921760000019276
z,7,7,0.002,20000,2647836320,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,7.0,293.20952241407986,5.680887447022902,1.2608623194834545,4.420025127539447,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,36931192.05930371,17.424567065194978,0.026535863095238095,336,1,0.13961160000326345
z,7,7,0.004,20000,2773987471,meas,9,0.00045,0.00047497625118744064,0.99955,8.421473684210527,2.1307848348174283,0.996,0.565685424949238,1.3295739742362471,7.0,12.932184358782246,2.5597191157762818,0.5657091201966437,1.9940099955796384,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,2573314.260667088,14.760705221647516,0.051716815476190475,336,1,0.22195889999784413
z,7,7,0.006,20000,750271358,meas,47,0.00235,0.002374881255937203,0.99765,2.526442105263158,0.9268120304914922,0.994,0.848528137423857,1.0855926040543844,7.0,2.081556806385144,0.7331160783615187,0.15823396116045502,0.5748821172010637,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,554488.355902956,13.225801086278773,0.0760328869047619,336,1,0.30122470000060275
z,7,7,0.008,20000,3851988216,meas,168,0.0084,0.008424578771061448,0.9916,0.9496023738872403,-0.05171193580854785,0.992,1.131370849898476,0.9401507732715985,7.0,0.5692319135042884,-0.5634673470431968,-0.13146221066302716,-0.43200513638016963,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,188891.2333398761,12.148926643412544,0.09909940476190476,336,1,0.36569130000134464
z,7,7,0.01,20000,2375414719,meas,338,0.0169,0.016924153792310385,0.9831,0.5908714918759231,-0.5261567270542514,0.99,1.4142135623730951,0.8408964152537146,7.0,0.20812186277529443,-1.569631492113378,-0.3566239261334742,-1.2130075659799036,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,82568.59734577357,11.321384709811374,0.12066845238095238,336,1,0.43824749999839696
z,7,7,0.02,20000,212198685,meas,3445,0.17225,0.17226638668066596,0.82775,0.1160992599042229,-2.1533097649392388,0.98,2.8284271247461903,0.5946035575013605,7.0,0.009104866974239581,-4.6989461760971505,-1.0599234781574374,-3.6390226979397133,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,6643.812830646267,8.80144129915128,0.21576622023809525,336,1,1.0962916999997105
z,7,7,0.04,20000,4099195411,meas,9460,0.473,0.47300134993250337,0.527,0.08456635484382433,-2.4702187883538467,0.96,5.656854249492381,0.4204482076268573,7.0,0.00039417019465017884,-7.838727775819639,-1.7736899459201185,-6.065037829899521,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,589.4848365351614,6.37924899705993,0.34668095238095237,336,1,2.231639499997982
z,9,9,0.0005,20000,3249757381,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,9.0,2126254.699598608,14.569872632965419,2.648658558232336,11.921214074733083,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,1381281929323.624,27.954033118197696,0.006824305555555556,720,1,0.1560222000007343
z,9,9,0.001,20000,2148322258,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,9.0,46960.531124916335,10.757062764593819,1.9550110023804896,8.802051762213328,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,48461673459.144775,24.604039084531465,0.013488888888888889,720,1,0.19153089999963413
z,9,9,0.002,20000,640075255,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,9.0,1036.6522080373247,6.94375176917703,1.2608623194834545,5.682889449693575,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,1774337728.7418482,21.29669307968275,0.02676923611111111,720,1,0.2559064999986731
z,9,9,0.004,20000,65482418,meas,3,0.00015,0.00017499125043747812,0.99985,22.858285714285717,3.1293136649285556,0.996,0.565685424949238,1.3295739742362471,9.0,22.861088139123826,3.129436257370464,0.5657091201966437,2.563727137173821,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,68398533.1761143,18.040861937569186,0.052126597222222223,720,1,0.416885499998898
z,9,9,0.006,20000,3724676282,meas,17,0.00085,0.0008749562521873906,0.99915,6.857485714285715,1.9253408606026194,0.994,0.848528137423857,1.0855926040543844,9.0,2.4531382220332483,0.897368111847537,0.15823396116045502,0.739134150687082,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,10478834.24326968,16.16486799434072,0.07644361111111111,720,1,0.5275050000018382
z,9,9,0.008,20000,1340844166,meas,78,0.0039,0.0039248037598120095,0.9961,2.0383184713375795,0.7121251891955058,0.992,1.131370849898476,0.9401507732715985,9.0,0.5031346826333458,-0.6868973860089596,-0.13146221066302716,-0.5554351753459323,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,2809980.550417714,14.848688119726441,0.09950555555555556,720,1,0.8336825999977009
z,9,9,0.01,20000,3383932975,meas,193,0.00965,0.009674516274186291,0.99035,1.033643410852713,0.03308985282824172,0.99,1.4142135623730951,0.8408964152537146,9.0,0.1471643804815868,-1.9162050823933505,-0.3566239261334742,-1.5595811562598763,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,1021975.3996447144,13.837247978658345,0.12169166666666667,720,1,1.0562100000024657
z,9,9,0.02,20000,3205008343,meas,3764,0.1882,0.18821558922053896,0.8118,0.10626112365519991,-2.241855783432153,0.98,2.8284271247461903,0.5946035575013605,9.0,0.003219056589643125,-5.738666946937069,-1.0599234781574374,-4.678743468779631,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,46972.478408599476,10.757317143407121,0.21684020833333334,720,1,2.5629472000000533
z,9,9,0.04,20000,2301904366,meas,9925,0.49625,0.4962501874906255,0.5037499999999999,0.08060450355145836,-2.5182007557022548,0.96,5.656854249492381,0.4204482076268573,9.0,6.968010439469074e-05,-9.571595727219503,-1.7736899459201185,-7.7979057812993835,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,2432.950227440681,7.79685988529547,0.3478791666666667,720,1,5.13625139999931
